"","ResponseId","Q6","Q8","STEM_Non-STEM","Q12","satacad","satlife","satoverall","respect9","intclimate10","socclimate11","collegial12","sameuniv13","samefield14","recommend15","curriculum16","teaching17","advising18","candidacy19","interdisc20","employment21","progqual22","Q21","Q22","Q23","Q24","finance","infotech","space","library","lab","htopicadv","hresearchadv","hwritingadv","hacadadv","hnonacadadv","hemployadv","Q32","Q33","htopicmen","hresearchmen","hwritingmen","hacadmen","hnonacadmen","hemploymen","Q38","Q39","Q40","Q41","Q42","Q43","Q45","Q46","Q47","Q48","Q49","Q78","Q78_7_TEXT","Q80","Q80_3_TEXT","Q82","Q84","Q86","Q88","Q88_5_TEXT","Q90_1","Q90_2","Q92_1","Q92_2","Q92_3","Q137_1","Q137_2","Q136_1","Q136_2","Q136_3","Q139_1","Q139_2","Q138_1","Q138_2","Q138_3","Q141_1","Q141_2","Q140_1","Q140_2","Q140_3","Q95","Q97","Q99","Q101","Q103","sameuniv91","samefield92","recommend93","curriculum94","teaching95","advising96","candidacy97","interdisc98","employment99","progqual100","respect101","intclimate102","socclimate103","collegial104","workcomm","family","availfac","progreq","coursesched","immigration","otherobst","otherobst_scored","otherobst_TEXT","Q104","Q60","Sex_ANOVA_Code","Q61","Q62","Citizenship_ANOVA_Code","Q63","Hispanic_Latino_ANOVA_Code","Race_Ethnicity","Race_Ethnicy_ANOVA_Code","Race_RECODE","Underrepresented"
"1","R_2cCN179YVYmv5Cl","PhD","College C","Non-STEM",NA,"Very good","Good","Good","Agree","Ambivalent","Ambivalent","Agree","Definitely","Definitely","Definitely","Good","Very good","Good","Good","Very good","Fair","Good","Yes, and I attended","Somewhat Effective","Yes","Yes","Poor","Fair","N/A","Fair","N/A","Very helpful","Very helpful","Very helpful","Very helpful","Somewhat helpful","Very helpful","Yes","Yes","Very helpful","Very helpful","Very helpful","Very helpful","N/A - I did not receive advice on this","N/A - I did not receive advice on this","No",NA,"No",NA,"No",NA,"1","0","Not applicable","1","0","Returning to, or continuing in, predoctoral employment",NA,"Employed by an organization (full-time or part-time)",NA,NA,"Academic institution or research institution","No","Administrative",NA,"Education",NA,"Other Occupations",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Academic Coach","Fitchburgs State University","Yes",NA,"Fitchburg, MA","Definitely","Definitely","Definitely","Good","Good","Good","Fair","Good","Poor","Good","Agree","Ambivalent","Ambivalent","Agree","A major obstacle","A major obstacle","Not an obstacle","A minor obstacle","A minor obstacle","Not applicable",NA,NA,NA,"Religious Studies","Male",1,"07/30/1984","U.S. Citizen",1,"No",2,"White",5,"White","Non-Underrespresented Group"
"2","R_6QjQtKUFNbhLsoV","PhD","College C","Non-STEM",NA,"Excellent","Good","Excellent","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Probably","Definitely","Definitely","Excellent","Excellent","Very good","Excellent","Fair","Poor","Excellent","I don't remember",NA,"Yes","No","Fair","Excellent","Fair","Good","N/A","Very helpful","Somewhat helpful","Very helpful","Somewhat helpful","Not very helpful","Not at all helpful","Yes","Yes","Not very helpful","Somewhat helpful","Somewhat helpful","Somewhat helpful","Not very helpful","Not very helpful","Yes","Very helpful","Yes","Very helpful","No",NA,"1","5","Yes","0","0","Seeking position but have no specific prospects",NA,NA,NA,NA,NA,NA,NA,NA,"Other",NA,"Other Occupations",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I don't have a job lined up and am anticipating a substantial struggle to find employment in my field, or at all.",NA,NA,NA,"n/a","Probably","Definitely","Definitely","Excellent","Excellent","Excellent","Excellent","Fair","Poor","Excellent","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","A major obstacle","Not an obstacle","Not an obstacle","Not an obstacle","Not an obstacle","Not an obstacle",NA,NA,NA,"History of Art and Architecture","Female",2,"05/23/1983","U.S. Citizen",1,"No",2,"White",5,"White","Non-Underrespresented Group"
"3","R_UEkRKRes2mmR5bX","PhD","College C","STEM",NA,"Very good","Good","Good","Agree","Agree","Agree","Agree","Maybe","Probably","Probably","Very good","Very good","Good","Very good","Fair","Good","Very good","Yes, and I attended","Somewhat Effective","Yes","No","Poor","Fair","Poor","Fair","N/A","Somewhat helpful","Very helpful","Very helpful","Somewhat helpful","Somewhat helpful","Somewhat helpful","Yes","Yes","Somewhat helpful","Very helpful","Very helpful","Somewhat helpful","Somewhat helpful","Somewhat helpful","Yes","Not very helpful","No",NA,"Yes","Very helpful","15","3","No","2","3","Negotiating with one or more specific organizations",NA,"Employed by an organization (full-time or part-time)",NA,NA,"Academic institution or research institution","Yes","Other",NA,"Research, Consulting, and Legal Services","Scientific Research (including Social research in Humanities)","Scientists, Social Scientists","Social Scientists and Related Occupations","Economists",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",NA,NA,"Maybe","Probably","Probably","Very good","Very good","Good","Very good","Fair","Good","Very good","Agree","Agree","Agree","Agree","A minor obstacle","Not an obstacle","Not an obstacle","Not an obstacle","Not an obstacle","Not applicable",NA,NA,NA,"Economics","Female",2,"05/12/1989","Permanent U.S. Resident",2,"No",2,"Asian",1,"Asian","Non-Underrespresented Group"
"4","R_3LgLwQCm1Il114u","PhD","College H","Non-STEM","I wish to complete the XX University Doctoral Exit survey.","Very good","Good","Very good","Ambivalent","Agree","Ambivalent","Strongly Agree","Maybe","Definitely","Maybe","Very good","Very good","Poor","Good","Excellent","Poor","Good","Yes, and I attended","Neither Effective nor Ineffective","No","No","Fair","Excellent","N/A","Excellent","Poor","Not at all helpful","Not at all helpful","Somewhat helpful","Not very helpful","Not at all helpful","Not very helpful","Yes","Yes","Somewhat helpful","Not at all helpful","Somewhat helpful","Very helpful","Not at all helpful","Very helpful","Yes","Very helpful","Yes","Very helpful","Yes","Somewhat helpful","5","7","Yes","13","2","Other - Specify:","Have been in a postdoc since August 2019",NA,NA,NA,NA,NA,NA,NA,"Education","4-year college or university","Scientists, Social Scientists",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Postdoctoral Research Scholar","Arizona State University","Yes",NA,"Phoenix","Probably not","Definitely","Maybe","Excellent","Excellent","Poor","Fair","Excellent","Fair","Good","Ambivalent","Strongly Agree","Ambivalent","Strongly Agree","A minor obstacle","Not applicable","A major obstacle","A major obstacle","A minor obstacle","Not applicable",NA,NA,NA,"Social Work","Female",2,"01/15/1988","U.S. Citizen",1,"No",2,"White",5,"White","Non-Underrespresented Group"
"5","R_3VmQbgty78CG8Df","PhD","College B","STEM","I wish to complete the XX University Doctoral Exit survey.","Very good","Very good","Very good","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Probably","Definitely","Probably","Very good","Very good","Excellent","Very good","Excellent","Very good","Very good","I don't remember",NA,"Yes","Yes","Very Good","Very Good","Excellent","Very Good","Excellent","Very helpful","Very helpful","Very helpful","Very helpful","Very helpful","Very helpful","Yes","Yes","Very helpful","Very helpful","Very helpful","Very helpful","Very helpful","Very helpful","No",NA,"No",NA,"No",NA,"10","5","Yes","5","1","Other full-time degree program (e.g., MD, DDS, JD, MBA, etc.)",NA,NA,NA,NA,NA,NA,NA,NA,"Other",NA,"Healthcare Practitioners","Physicians and Surgeons",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MD/PhD Student",NA,"Yes",NA,"Boston","Probably","Definitely","Probably","Very good","Very good","Excellent","Very good","Excellent","Very good","Very good","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","A minor obstacle","A minor obstacle","Not an obstacle","Not an obstacle","A minor obstacle","Not applicable","A minor obstacle",2,"Administrative burden","Molecular biology","Female",2,"03/15/1990","U.S. Citizen",1,"No",2,"Asian,White",4,"Two or More Races","Non-Underrespresented Group"
"6","R_3QMoPUV7Zwm16na","PhD","College C","STEM","I wish to complete the XX University Doctoral Exit survey.","Fair","Fair","Fair","Ambivalent","Ambivalent","Ambivalent","Ambivalent","Maybe","Maybe","Maybe","Fair","Fair","Fair","Fair","Poor","Fair","Fair","Yes, and I attended","Somewhat Ineffective","Yes","Yes","Poor","Excellent","Good","Excellent","Excellent","Not very helpful","Not very helpful","Not very helpful","Somewhat helpful","Somewhat helpful","Somewhat helpful","No",NA,NA,NA,NA,NA,NA,NA,"Yes","Somewhat helpful","No",NA,"No",NA,"5","0","Not applicable","0","0","Have signed contract or made definite commitment for a ""postdoc"" or other work",NA,"Employed by an organization (full-time or part-time)",NA,NA,"Government, elected or civil service","Yes","Administrative",NA,"Public Administration (Government)",NA,"Scientists, Social Scientists","Social Scientists and Related Occupations","Economists",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Economist","Bureau of Economic Analysis","Yes",NA,"Washington, DC","Definitely not","Definitely not","Probably not","Fair","Fair","Fair","Fair","Fair","Good","Fair","Ambivalent","Ambivalent","Ambivalent","Ambivalent","A major obstacle","A major obstacle","A minor obstacle","A minor obstacle","A minor obstacle","Not an obstacle",NA,NA,NA,"Economics","Male",1,"12/18/1991","U.S. Citizen",1,"No",2,"White",5,"White","Non-Underrespresented Group"
"7","R_2scfRFKwDdLQZkZ","PhD","College C","Non-STEM","I wish to complete the XX University Doctoral Exit survey.","Excellent","Very good","Good","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Probably","Probably","Maybe","Excellent","Excellent","Good","Good","Good","Fair","Very good","I don't remember",NA,"Yes","No","Poor","Good","Poor","Good","N/A","Very helpful","Very helpful","Very helpful","Very helpful","Very helpful","Somewhat helpful","Yes","Yes","Somewhat helpful","Very helpful","Very helpful","Very helpful","Very helpful","Very helpful","Yes","Very helpful","Yes","Somewhat helpful","No",NA,"2","6","Yes","2","0","Negotiating with one or more specific organizations",NA,"Employed by an organization (full-time or part-time)",NA,NA,"Non-profit, non-government organization","No",NA,NA,"Non-profit and membership organizations","Civic and Social Organizations","Education, Training, and Library Occupations","Other educational occupation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Preservation Trades Coordinator","Providence Preservation Society","Yes",NA,"Providence, RI","Maybe","Probably","Maybe","Excellent","Excellent","Very good","Good","Good","Fair","Very good","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","A major obstacle","Not an obstacle","Not an obstacle","Not an obstacle","Not an obstacle","Not an obstacle",NA,NA,NA,"Landscape History","Male",1,"01/28/1988","U.S. Citizen",1,"No",2,"White",5,"White","Non-Underrespresented Group"
"8","R_27Hd39zaHHSNu72","PhD","College F","STEM","I wish to complete the XX University Doctoral Exit survey.","Very good","Very good","Good","Agree","Ambivalent","Ambivalent","Agree","Maybe","Probably not","Maybe","Good","Excellent","Good","Fair","Excellent","Poor","Very good","No",NA,"Yes","No","Poor","Fair","Excellent","Very Good","Excellent","Very helpful","Very helpful","Somewhat helpful","Not at all helpful","Not at all helpful","Not at all helpful","Yes","Yes","N/A - I did not receive advice on this","N/A - I did not receive advice on this","N/A - I did not receive advice on this","Somewhat helpful","N/A - I did not receive advice on this","N/A - I did not receive advice on this","Yes","Somewhat helpful","Yes","Not at all helpful","Yes","Very helpful","4","7","Yes","6","2","Have signed contract or made definite commitment for a ""postdoc"" or other work",NA,"Employed by an organization (full-time or part-time)",NA,NA,"Industry/for-profit organization","No",NA,NA,"Research, Consulting, and Legal Services","Legal Services","Legal Occupations","Lawyers and Judicial Law Clerks",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Technology Specialist",NA,"Yes",NA,"Boston","Maybe","Probably not","Maybe","Good","Excellent","Fair","Poor","Excellent","Poor","Very good","Ambivalent","Ambivalent","Ambivalent","Ambivalent","Not an obstacle","A major obstacle","Not an obstacle","Not an obstacle","Not an obstacle","Not an obstacle",NA,NA,NA,"Mechanical Engineering","Female",2,"09/06/1993","U.S. Citizen",1,"No",2,"White",5,"White","Non-Underrespresented Group"
"9","R_sQXx5LDYtH2p9sZ","PhD","College C","STEM","I wish to complete the XX University Doctoral Exit survey.","Fair","Fair","Good","Agree","Ambivalent","Ambivalent","Agree","Probably not","Probably","Probably not","Poor","Fair","Good","Good","Good","Poor","Good","I don't remember",NA,"Yes","No","Good","Very Good","Good","Very Good","Very Good","Not very helpful","Somewhat helpful","Not at all helpful","Not very helpful","Not very helpful","Not very helpful","No",NA,NA,NA,NA,NA,NA,NA,"Yes","Somewhat helpful","Yes","Somewhat helpful","Yes","Very helpful","12","5","Yes","3","1","Seeking position but have no specific prospects",NA,NA,NA,NA,NA,NA,NA,NA,"Research, Consulting, and Legal Services","Scientific Research (including Social research in Humanities)","Scientists, Social Scientists","Life Scientists","Biological Scientists",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I don't have a job yet","none","Yes",NA,"none","Probably not","Probably","Probably not","Fair","Fair","Very good","Good","Good","Poor","Fair","Ambivalent","Ambivalent","Ambivalent","Agree","Not an obstacle","A minor obstacle","A major obstacle","Not an obstacle","A minor obstacle","Not an obstacle","A major obstacle",3,"Mental Health","Molecular Biology","Male",1,"08/13/1987","U.S. Citizen",1,"No",2,"White",5,"White","Non-Underrespresented Group"
"10","R_1jprHzIoIIaouko","PhD","College F","STEM","I wish to complete the XX University Doctoral Exit survey.","Very good","Very good","Fair","Ambivalent","Agree","Agree","Agree","Probably","Probably","Maybe","Excellent","Very good","Fair","Good","Good",NA,"Good","No",NA,"Yes","No","Poor","Excellent","Excellent","Excellent","Excellent","Very helpful","Somewhat helpful","Very helpful","N/A - I did not receive advice on this","Very helpful","N/A - I did not receive advice on this","Yes",NA,"N/A - I did not receive advice on this","Very helpful","N/A - I did not receive advice on this","N/A - I did not receive advice on this","Very helpful","Very helpful","Yes","Very helpful","No",NA,"Yes","Very helpful","0","2","Not applicable","3","2","Seeking position but have no specific prospects",NA,NA,NA,NA,NA,NA,NA,NA,"Technology","Computer and Electronic Product Manufacturing","Scientists, Social Scientists","Physical Scientists","Chemists and Materials Scientists","Technology",NA,"Scientists, Social Scientists","Physical Scientists","Chemists and Materials Scientists","Technology","Computer and Electronic Product Manufacturing","Scientists, Social Scientists","Physical Scientists","Chemists and Materials Scientists","Technology","Computer and Electronic Product Manufacturing","Scientists, Social Scientists","Physical Scientists","Chemists and Materials Scientists","N/A","N/A","Yes",NA,"N/A","Probably","Probably","Maybe","Very good","Very good","Fair","Good","Good","Good","Fair","Ambivalent","Agree","Agree","Agree","A major obstacle","Not an obstacle","Not an obstacle","A minor obstacle","A minor obstacle","Not an obstacle","A major obstacle",3,"Lack of guaranteed funding even before 5 years and advisors who didn't know this beforehand","Materials Science and Engineering","Female",2,"11/09/1989","U.S. Citizen",1,"No",2,"White",5,"White","Non-Underrespresented Group"
