"","X","Q8","STEM_Non.STEM","satacad","satlife","satoverall","respect9","intclimate10","socclimate11","collegial12","sameuniv13","samefield14","recommend15","curriculum16","teaching17","advising18","candidacy19","interdisc20","employment21","progqual22","Q21","Q23","Q24","htopicadv","hresearchadv","hwritingadv","hacadadv","hnonacadadv","hemployadv","Q32","Q38","Q39","Q40","Q42","Q45","Q46","Q47","Q48","Q49","Q90_1","Q99","sameuniv91","samefield92","recommend93","curriculum94","teaching95","advising96","candidacy97","interdisc98","employment99","progqual100","respect101","intclimate102","socclimate103","collegial104","workcomm","family","availfac","progreq","coursesched","immigration","Sex_ANOVA_Code","Citizenship_ANOVA_Code","Hispanic_Latino_ANOVA_Code","Race_Ethnicy_ANOVA_Code","Underrepresented"
"1",1,1,0,4,3,3,4,3,3,4,5,5,5,3,4,3,3,4,2,3,1,1,1,4,4,4,4,3,4,1,0,3.34117647058824,0,0,1,0,2,1,0,2,1,5,5,5,3,3,3,2,3,1,3,4,3,3,4,3,3,1,2,2,0,1,1,2,5,1
"2",2,1,0,5,3,5,5,5,5,5,4,5,5,5,5,4,5,2,1,5,2,1,0,4,3,4,3,2,1,1,1,4,1,0,1,5,1,0,0,4,0.938172043010753,4,5,5,5,5,5,5,2,1,5,5,5,5,5,3,1,1,1,1,1,2,1,2,5,1
"3",3,1,1,4,3,3,4,4,4,4,3,4,4,4,4,3,4,2,3,4,1,1,0,3,4,4,3,3,3,1,1,2,0,1,15,3,0,2,3,1,1,3,4,4,4,4,3,4,2,3,4,4,4,4,4,2,1,1,1,1,0,2,2,2,1,1
"4",4,2,0,4,3,4,3,4,3,5,3,5,3,4,4,1,3,5,1,3,1,0,0,1,1,3,2,1,2,1,1,4,1,1,5,7,1,13,2,2,1,2,5,3,5,5,1,2,5,2,3,3,5,3,5,2,0,3,3,2,0,2,1,2,5,1
"5",5,3,1,4,4,4,5,5,5,5,4,5,4,4,4,5,4,5,4,4,2,1,1,4,4,4,4,4,4,1,0,3.34117647058824,0,0,10,5,1,5,1,4,1,4,5,4,4,4,5,4,5,4,4,5,5,5,5,2,2,1,1,2,0,2,1,2,4,1
"6",6,1,1,2,2,2,3,3,3,3,3,3,3,2,2,2,2,1,2,2,1,1,1,2,2,2,3,3,3,0,1,3,0,0,5,0,2,0,0,5,1,1,1,2,2,2,2,2,2,3,2,3,3,3,3,3,3,2,2,2,1,1,1,2,5,1
"7",7,1,0,5,4,3,5,5,5,5,4,4,3,5,5,3,3,3,2,4,2,1,0,4,4,4,4,4,3,1,1,4,1,0,2,6,1,2,0,3,1,3,4,3,5,5,4,3,3,2,4,5,5,5,5,3,1,1,1,1,1,1,1,2,5,1
"8",8,6,1,4,4,3,4,3,3,4,3,2,3,3,5,3,2,5,1,4,0,1,0,4,4,3,1,1,1,1,1,3,1,1,4,7,1,6,2,1,1,3,2,3,3,5,2,1,5,1,4,3,3,3,3,1,3,1,1,1,1,2,1,2,5,1
"9",9,1,1,2,2,3,4,3,3,4,2,4,2,1,2,3,3,3,1,3,2,1,0,2,3,1,2,2,2,0,1,3,1,1,12,5,1,3,1,1,1,2,4,2,2,2,4,3,3,1,2,3,3,3,4,1,2,3,1,2,1,1,1,2,5,1
"10",10,6,1,4,4,2,3,4,4,4,4,4,3,5,4,2,3,3,3.02010050251256,3,0,1,0,4,3,4,0,4,0,1,1,4,0,1,0,2,2,3,2,7,1,4,4,3,4,4,2,3,3,3,2,3,4,4,4,3,1,1,2,2,1,2,1,2,5,1
