"","Q8","STEM_Non-STEM","satacad","satlife","satoverall","respect9","intclimate10","socclimate11","collegial12","sameuniv13","samefield14","recommend15","curriculum16","teaching17","advising18","candidacy19","interdisc20","employment21","progqual22","Q21","Q22","Q23","Q24","finance","infotech","space","library","lab","htopicadv","hresearchadv","hwritingadv","hacadadv","hnonacadadv","hemployadv","Q32","Q33","htopicmen","hresearchmen","hwritingmen","hacadmen","hnonacadmen","hemploymen","Q38","Q39","Q40","Q42","Q43","Q45","Q46","Q47","Q48","Q49","Q78","Q90_1","Q90_2","Q92_1","Q99","sameuniv91","samefield92","recommend93","curriculum94","teaching95","advising96","candidacy97","interdisc98","employment99","progqual100","respect101","intclimate102","socclimate103","collegial104","workcomm","family","availfac","progreq","coursesched","immigration","Sex_ANOVA_Code","Citizenship_ANOVA_Code","Hispanic_Latino_ANOVA_Code","Race_Ethnicy_ANOVA_Code","Underrepresented"
"1","College C","Non-STEM","Very good","Good","Good","Agree","Ambivalent","Ambivalent","Agree","Definitely","Definitely","Definitely","Good","Very good","Good","Good","Very good","Fair","Good","Yes, and I attended","Somewhat Effective","Yes","Yes","Poor","Fair","N/A","Fair","N/A","Very helpful","Very helpful","Very helpful","Very helpful","Somewhat helpful","Very helpful","Yes","Yes","Very helpful","Very helpful","Very helpful","Very helpful","N/A - I did not receive advice on this","N/A - I did not receive advice on this","No",NA,"No","No",NA,"1","0","Not applicable","1","0","Returning to, or continuing in, predoctoral employment","Education",NA,"Other Occupations","Yes","Definitely","Definitely","Definitely","Good","Good","Good","Fair","Good","Poor","Good","Agree","Ambivalent","Ambivalent","Agree","A major obstacle","A major obstacle","Not an obstacle","A minor obstacle","A minor obstacle","Not applicable",1,1,2,5,"Non-Underrespresented Group"
"2","College C","Non-STEM","Excellent","Good","Excellent","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Probably","Definitely","Definitely","Excellent","Excellent","Very good","Excellent","Fair","Poor","Excellent","I don't remember",NA,"Yes","No","Fair","Excellent","Fair","Good","N/A","Very helpful","Somewhat helpful","Very helpful","Somewhat helpful","Not very helpful","Not at all helpful","Yes","Yes","Not very helpful","Somewhat helpful","Somewhat helpful","Somewhat helpful","Not very helpful","Not very helpful","Yes","Very helpful","Yes","No",NA,"1","5","Yes","0","0","Seeking position but have no specific prospects","Other",NA,"Other Occupations",NA,"Probably","Definitely","Definitely","Excellent","Excellent","Excellent","Excellent","Fair","Poor","Excellent","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","A major obstacle","Not an obstacle","Not an obstacle","Not an obstacle","Not an obstacle","Not an obstacle",2,1,2,5,"Non-Underrespresented Group"
"3","College C","STEM","Very good","Good","Good","Agree","Agree","Agree","Agree","Maybe","Probably","Probably","Very good","Very good","Good","Very good","Fair","Good","Very good","Yes, and I attended","Somewhat Effective","Yes","No","Poor","Fair","Poor","Fair","N/A","Somewhat helpful","Very helpful","Very helpful","Somewhat helpful","Somewhat helpful","Somewhat helpful","Yes","Yes","Somewhat helpful","Very helpful","Very helpful","Somewhat helpful","Somewhat helpful","Somewhat helpful","Yes","Not very helpful","No","Yes","Very helpful","15","3","No","2","3","Negotiating with one or more specific organizations","Research, Consulting, and Legal Services","Scientific Research (including Social research in Humanities)","Scientists, Social Scientists","Yes","Maybe","Probably","Probably","Very good","Very good","Good","Very good","Fair","Good","Very good","Agree","Agree","Agree","Agree","A minor obstacle","Not an obstacle","Not an obstacle","Not an obstacle","Not an obstacle","Not applicable",2,2,2,1,"Non-Underrespresented Group"
"4","College H","Non-STEM","Very good","Good","Very good","Ambivalent","Agree","Ambivalent","Strongly Agree","Maybe","Definitely","Maybe","Very good","Very good","Poor","Good","Excellent","Poor","Good","Yes, and I attended","Neither Effective nor Ineffective","No","No","Fair","Excellent","N/A","Excellent","Poor","Not at all helpful","Not at all helpful","Somewhat helpful","Not very helpful","Not at all helpful","Not very helpful","Yes","Yes","Somewhat helpful","Not at all helpful","Somewhat helpful","Very helpful","Not at all helpful","Very helpful","Yes","Very helpful","Yes","Yes","Somewhat helpful","5","7","Yes","13","2","Other - Specify:","Education","4-year college or university","Scientists, Social Scientists","Yes","Probably not","Definitely","Maybe","Excellent","Excellent","Poor","Fair","Excellent","Fair","Good","Ambivalent","Strongly Agree","Ambivalent","Strongly Agree","A minor obstacle","Not applicable","A major obstacle","A major obstacle","A minor obstacle","Not applicable",2,1,2,5,"Non-Underrespresented Group"
"5","College B","STEM","Very good","Very good","Very good","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Probably","Definitely","Probably","Very good","Very good","Excellent","Very good","Excellent","Very good","Very good","I don't remember",NA,"Yes","Yes","Very Good","Very Good","Excellent","Very Good","Excellent","Very helpful","Very helpful","Very helpful","Very helpful","Very helpful","Very helpful","Yes","Yes","Very helpful","Very helpful","Very helpful","Very helpful","Very helpful","Very helpful","No",NA,"No","No",NA,"10","5","Yes","5","1","Other full-time degree program (e.g., MD, DDS, JD, MBA, etc.)","Other",NA,"Healthcare Practitioners","Yes","Probably","Definitely","Probably","Very good","Very good","Excellent","Very good","Excellent","Very good","Very good","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","A minor obstacle","A minor obstacle","Not an obstacle","Not an obstacle","A minor obstacle","Not applicable",2,1,2,4,"Non-Underrespresented Group"
"6","College C","STEM","Fair","Fair","Fair","Ambivalent","Ambivalent","Ambivalent","Ambivalent","Maybe","Maybe","Maybe","Fair","Fair","Fair","Fair","Poor","Fair","Fair","Yes, and I attended","Somewhat Ineffective","Yes","Yes","Poor","Excellent","Good","Excellent","Excellent","Not very helpful","Not very helpful","Not very helpful","Somewhat helpful","Somewhat helpful","Somewhat helpful","No",NA,NA,NA,NA,NA,NA,NA,"Yes","Somewhat helpful","No","No",NA,"5","0","Not applicable","0","0","Have signed contract or made definite commitment for a ""postdoc"" or other work","Public Administration (Government)",NA,"Scientists, Social Scientists","Yes","Definitely not","Definitely not","Probably not","Fair","Fair","Fair","Fair","Fair","Good","Fair","Ambivalent","Ambivalent","Ambivalent","Ambivalent","A major obstacle","A major obstacle","A minor obstacle","A minor obstacle","A minor obstacle","Not an obstacle",1,1,2,5,"Non-Underrespresented Group"
"7","College C","Non-STEM","Excellent","Very good","Good","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Probably","Probably","Maybe","Excellent","Excellent","Good","Good","Good","Fair","Very good","I don't remember",NA,"Yes","No","Poor","Good","Poor","Good","N/A","Very helpful","Very helpful","Very helpful","Very helpful","Very helpful","Somewhat helpful","Yes","Yes","Somewhat helpful","Very helpful","Very helpful","Very helpful","Very helpful","Very helpful","Yes","Very helpful","Yes","No",NA,"2","6","Yes","2","0","Negotiating with one or more specific organizations","Non-profit and membership organizations","Civic and Social Organizations","Education, Training, and Library Occupations","Yes","Maybe","Probably","Maybe","Excellent","Excellent","Very good","Good","Good","Fair","Very good","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","A major obstacle","Not an obstacle","Not an obstacle","Not an obstacle","Not an obstacle","Not an obstacle",1,1,2,5,"Non-Underrespresented Group"
"8","College F","STEM","Very good","Very good","Good","Agree","Ambivalent","Ambivalent","Agree","Maybe","Probably not","Maybe","Good","Excellent","Good","Fair","Excellent","Poor","Very good","No",NA,"Yes","No","Poor","Fair","Excellent","Very Good","Excellent","Very helpful","Very helpful","Somewhat helpful","Not at all helpful","Not at all helpful","Not at all helpful","Yes","Yes","N/A - I did not receive advice on this","N/A - I did not receive advice on this","N/A - I did not receive advice on this","Somewhat helpful","N/A - I did not receive advice on this","N/A - I did not receive advice on this","Yes","Somewhat helpful","Yes","Yes","Very helpful","4","7","Yes","6","2","Have signed contract or made definite commitment for a ""postdoc"" or other work","Research, Consulting, and Legal Services","Legal Services","Legal Occupations","Yes","Maybe","Probably not","Maybe","Good","Excellent","Fair","Poor","Excellent","Poor","Very good","Ambivalent","Ambivalent","Ambivalent","Ambivalent","Not an obstacle","A major obstacle","Not an obstacle","Not an obstacle","Not an obstacle","Not an obstacle",2,1,2,5,"Non-Underrespresented Group"
"9","College C","STEM","Fair","Fair","Good","Agree","Ambivalent","Ambivalent","Agree","Probably not","Probably","Probably not","Poor","Fair","Good","Good","Good","Poor","Good","I don't remember",NA,"Yes","No","Good","Very Good","Good","Very Good","Very Good","Not very helpful","Somewhat helpful","Not at all helpful","Not very helpful","Not very helpful","Not very helpful","No",NA,NA,NA,NA,NA,NA,NA,"Yes","Somewhat helpful","Yes","Yes","Very helpful","12","5","Yes","3","1","Seeking position but have no specific prospects","Research, Consulting, and Legal Services","Scientific Research (including Social research in Humanities)","Scientists, Social Scientists","Yes","Probably not","Probably","Probably not","Fair","Fair","Very good","Good","Good","Poor","Fair","Ambivalent","Ambivalent","Ambivalent","Agree","Not an obstacle","A minor obstacle","A major obstacle","Not an obstacle","A minor obstacle","Not an obstacle",1,1,2,5,"Non-Underrespresented Group"
"10","College F","STEM","Very good","Very good","Fair","Ambivalent","Agree","Agree","Agree","Probably","Probably","Maybe","Excellent","Very good","Fair","Good","Good",NA,"Good","No",NA,"Yes","No","Poor","Excellent","Excellent","Excellent","Excellent","Very helpful","Somewhat helpful","Very helpful","N/A - I did not receive advice on this","Very helpful","N/A - I did not receive advice on this","Yes",NA,"N/A - I did not receive advice on this","Very helpful","N/A - I did not receive advice on this","N/A - I did not receive advice on this","Very helpful","Very helpful","Yes","Very helpful","No","Yes","Very helpful","0","2","Not applicable","3","2","Seeking position but have no specific prospects","Technology","Computer and Electronic Product Manufacturing","Scientists, Social Scientists","Yes","Probably","Probably","Maybe","Very good","Very good","Fair","Good","Good","Good","Fair","Ambivalent","Agree","Agree","Agree","A major obstacle","Not an obstacle","Not an obstacle","A minor obstacle","A minor obstacle","Not an obstacle",2,1,2,5,"Non-Underrespresented Group"
